ID,BID,ASK,DATE
USDJPY,102.439,102.443,20140814203751,
EURJPY,137.036,137.046,20140814203751,
AUDJPY,95.412,95.421,20140814203751,
GBPJPY,170.869,170.887,20140814203751,
NZDJPY,87.031,87.049,20140814203751,
CADJPY,93.972,93.996,20140814203751,
CHFJPY,113.034,113.058,20140814203751,
ZARJPY,9.678,9.697,20140814203751,
CNHJPY,16.638,16.668,20140814203751,
EURUSD,1.33763,1.33771,20140814203751,
GBPUSD,1.6679,1.66815,20140814203751,
AUDUSD,0.93128,0.93146,20140814203751,
NZDUSD,0.84933,0.84963,20140814203751,
HKDJPY,13.201,13.231,20140814203751,
EURGBP,0.80188,0.80206,20140814203751,
EURAUD,1.43615,1.43638,20140814203751,
USDCHF,0.90612,0.9063,20140814203751,
EURCHF,1.21215,1.21233,20140814203751,
GBPCHF,1.51144,1.51174,20140814203751,
AUDCHF,0.84392,0.84422,20140814203751,
CADCHF,0.83107,0.83167,20140814203751,
USDHKD,7.75098,7.75128,20140814203751,
USDJPY,102.435,102.439,20140814203808,
EURJPY,137.02,137.03,20140814203808,
AUDJPY,95.409,95.418,20140814203808,
GBPJPY,170.861,170.879,20140814203808,
NZDJPY,87.022,87.04,20140814203808,
CADJPY,93.969,93.993,20140814203808,
CHFJPY,113.025,113.049,20140814203808,
ZARJPY,9.677,9.696,20140814203808,
CNHJPY,16.637,16.667,20140814203808,
EURUSD,1.33756,1.33764,20140814203808,
GBPUSD,1.66788,1.66813,20140814203808,
AUDUSD,0.9313,0.93148,20140814203808,
NZDUSD,0.84927,0.84957,20140814203808,
HKDJPY,13.201,13.231,20140814203808,
EURGBP,0.80185,0.80203,20140814203808,
EURAUD,1.43602,1.43625,20140814203808,
USDCHF,0.90618,0.90636,20140814203808,
EURCHF,1.21214,1.21232,20140814203808,
GBPCHF,1.51149,1.51179,20140814203808,
AUDCHF,0.84397,0.84427,20140814203808,
CADCHF,0.83113,0.83173,20140814203808,
USDHKD,7.75098,7.75128,20140814203808,
USDJPY,102.434,102.438,20140814203825,
EURJPY,137.021,137.031,20140814203825,
AUDJPY,95.418,95.427,20140814203825,
GBPJPY,170.873,170.891,20140814203825,
